Wall time,Step,Value
1652899722.6763983,235400,-47.5
1652899732.207813,235600,-47.5
1652899741.844896,235800,-47.5
1652899780.1797237,236600,-48.0
1652899799.9799275,237000,-48.0
1652899847.917812,238000,-48.0
1652899886.611062,238800,-48.0
1652899896.22099,239000,-48.0
1652899924.8641326,239600,-48.0
1652900001.49706,241200,-49.0
1652900011.2514575,241400,-49.0
1652900020.839206,241600,-49.0
1652900088.3391137,243000,-48.0
1652900126.864966,243800,-48.0
1652900174.8877153,244800,-47.5
1652900193.9341033,245200,-46.5
1652900232.5998096,246000,-46.5
1652900376.8262973,249000,-47.0
1652900396.202399,249400,-47.0
1652900425.3388994,250000,-48.5
1652900435.036208,250200,-48.5
1652900444.612233,250400,-48.0
1652900454.2591362,250600,-48.0
1652900473.720163,251000,-48.0
1652900502.6869044,251600,-47.5
1652900531.5252335,252200,-47.0
1652900541.1776292,252400,-47.5
1652900599.095799,253600,-47.5
1652900637.1923256,254400,-47.5
1652900685.5996628,255400,-47.0
1652900704.8317456,255800,-47.0
1652900743.121553,256600,-48.0
1652900772.0578544,257200,-48.5
1652900820.2460697,258200,-48.5
1652900849.0307662,258800,-48.0
1652900897.2864017,259800,-48.0
1652900906.9169438,260000,-48.0
1652900936.068037,260600,-48.5
1652900974.470551,261400,-48.5
1652901013.357483,262200,-48.5
1652901061.8347318,263200,-48.5
1652901109.8409116,264200,-49.0
1652901129.3031545,264600,-49.5
1652901162.2647707,265200,-49.5
1652901174.133214,265400,-49.5
1652901290.8776968,267200,-49.0
1652901407.4074504,269200,-48.5
1652901436.3383114,269800,-48.5
1652901494.3475215,271000,-48.5
1652901552.0837924,272200,-48.5
1652901590.8491611,273000,-49.5
1652901629.464709,273800,-49.0
1652901697.2795303,275200,-49.0
1652901707.3105114,275400,-49.0
1652901745.7383175,276200,-48.5
1652901803.3231134,277400,-48.5
1652901841.687157,278200,-48.0
1652901870.7412148,278800,-48.5
1652901909.2266817,279600,-48.5
1652902101.8900917,283600,-48.5
1652902140.3638172,284400,-48.5
1652902236.2731626,286400,-49.0
1652902284.451429,287400,-49.5
1652902303.8570986,287800,-50.0
1652902313.568175,288000,-49.5
1652902323.2284362,288200,-49.5
1652902333.0071614,288400,-49.5
1652902410.4175725,290000,-49.5
1652902487.990766,291600,-49.0
1652902497.6032765,291800,-49.0
1652902517.0782473,292200,-49.0
1652902526.7425961,292400,-49.0
1652902643.2006896,294800,-49.0
1652902652.9327164,295000,-49.0
1652902672.064636,295400,-49.0
1652902778.5466754,297600,-48.0
1652902807.5266407,298200,-48.0
1652902846.4421506,299000,-48.0
1652902885.4416862,299800,-48.0
1652902924.1672106,300600,-47.5
1652902991.699036,302000,-48.5
1652903001.2863204,302200,-48.0
1652903010.967729,302400,-48.0
1652903030.501774,302800,-48.0
1652903059.5013132,303400,-48.5
1652903175.3177538,305800,-48.0
1652903233.7012777,307000,-48.0
1652903262.9518676,307600,-48.0
1652903272.629048,307800,-48.0
1652903301.3794012,308400,-48.0
1652903368.6621773,309800,-48.0
1652903397.944453,310400,-48.5
1652903407.7142854,310600,-48.5
1652903504.6467602,312600,-48.0
1652903533.7592256,313200,-48.0
1652903543.341322,313400,-48.0
1652903562.9057672,313800,-48.0
1652903602.1711702,314600,-47.0
1652903611.737115,314800,-47.0
1652903640.9128947,315400,-46.5
1652903679.5592108,316200,-45.5
1652903727.761761,317200,-45.5
1652903824.6961389,319200,-47.5
1652903834.3915167,319400,-47.5
1652903882.398396,320400,-48.0
1652903901.883278,320800,-48.5
1652903979.3827546,322400,-48.5
1652904134.7935874,325600,-47.5
1652904212.032139,327200,-48.5
1652904231.2748249,327600,-49.0
1652904260.837889,328200,-49.0
1652904318.95858,329400,-48.5
1652904328.5656583,329600,-48.5
1652904395.874,331000,-49.0
1652904473.711152,332600,-48.5
1652904512.8266146,333400,-48.5
1652904551.9678917,334200,-49.0
1652904591.073884,335000,-49.0
1652904620.0971658,335600,-49.0
1652904639.3415444,336000,-49.0
1652904697.691869,337200,-49.0
1652904707.528318,337400,-49.0
1652904717.3293626,337600,-49.0
1652904727.1603446,337800,-49.0
1652904775.8261669,338800,-48.5
1652904785.5079515,339000,-48.5
1652904795.273251,339200,-48.5
1652904863.7526348,340600,-48.0
1652904883.4011066,341000,-48.0
1652904912.765494,341600,-47.5
1652904932.137627,342000,-47.5
1652904941.9352367,342200,-47.5
1652904951.5142713,342400,-47.0
1652904961.3124135,342600,-47.0
1652905019.816383,343800,-48.0
1652905059.178436,344600,-48.0
1652905068.8877456,344800,-48.5
1652905088.4622724,345200,-48.5
1652905137.71103,346200,-49.0
1652905216.4274664,347800,-48.0
1652905226.3171942,348000,-48.0
1652905266.0238955,348800,-48.0
1652905285.6470075,349200,-48.0
1652905334.1229448,350200,-48.0
1652905363.2559621,350800,-48.0
1652905372.9581969,351000,-48.0
1652905480.1678722,353200,-50.0
1652905577.703911,355200,-49.5
1652905597.5145376,355600,-49.0
1652905626.9048786,356200,-49.0
1652905666.2155578,357000,-49.0
1652905676.027787,357200,-49.0
1652905685.6796632,357400,-49.0
1652905714.9823477,358000,-48.5
1652905744.2988238,358600,-48.5
1652905783.5757399,359400,-48.5
1652905822.7461886,360200,-48.0
1652906007.9384177,364000,-48.0
1652906047.083002,364800,-48.0
1652906086.2285385,365600,-47.5
1652906115.5166945,366200,-47.5
1652906135.2026486,366600,-47.5
1652906173.8472009,367400,-48.0
1652906193.3896837,367800,-48.0
1652906281.4302914,369600,-49.5
1652906320.695106,370400,-50.0
1652906408.3944974,372200,-48.0
1652906457.906903,373200,-47.5
1652906467.7066784,373400,-47.5
1652906477.6219013,373600,-47.5
1652906545.6999793,375000,-46.5
1652906604.470946,376200,-46.5
1652906633.5693803,376800,-47.5
1652906662.983198,377400,-48.5
1652906682.6590035,377800,-49.0
1652906751.46868,379200,-49.5
